"Statistic Label","Month","Type of Loan","UNIT","VALUE"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2003M03","Loans to households, including securitisations","%",""
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2003M03","Loans to non-financial corporations, including securitisations","%",""
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2003M04","Loans to households, including securitisations","%",""
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2003M04","Loans to non-financial corporations, including securitisations","%",""
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2003M05","Loans to households, including securitisations","%",""
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2003M05","Loans to non-financial corporations, including securitisations","%",""
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2003M06","Loans to households, including securitisations","%",""
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2003M06","Loans to non-financial corporations, including securitisations","%",""
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2003M07","Loans to households, including securitisations","%",""
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2003M07","Loans to non-financial corporations, including securitisations","%",""
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2003M08","Loans to households, including securitisations","%",""
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2003M08","Loans to non-financial corporations, including securitisations","%",""
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2003M09","Loans to households, including securitisations","%",""
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2003M09","Loans to non-financial corporations, including securitisations","%",""
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2003M10","Loans to households, including securitisations","%",""
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2003M10","Loans to non-financial corporations, including securitisations","%",""
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2003M11","Loans to households, including securitisations","%",""
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2003M11","Loans to non-financial corporations, including securitisations","%",""
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2003M12","Loans to households, including securitisations","%",""
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2003M12","Loans to non-financial corporations, including securitisations","%",""
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2004M01","Loans to households, including securitisations","%","23.1"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2004M01","Loans to non-financial corporations, including securitisations","%","18.9"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2004M02","Loans to households, including securitisations","%","23.4"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2004M02","Loans to non-financial corporations, including securitisations","%","20.3"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2004M03","Loans to households, including securitisations","%","24.1"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2004M03","Loans to non-financial corporations, including securitisations","%","24"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2004M04","Loans to households, including securitisations","%","24.5"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2004M04","Loans to non-financial corporations, including securitisations","%","22.8"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2004M05","Loans to households, including securitisations","%","25.5"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2004M05","Loans to non-financial corporations, including securitisations","%","25.3"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2004M06","Loans to households, including securitisations","%","27.8"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2004M06","Loans to non-financial corporations, including securitisations","%","24.4"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2004M07","Loans to households, including securitisations","%","26.4"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2004M07","Loans to non-financial corporations, including securitisations","%","25.6"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2004M08","Loans to households, including securitisations","%","26.9"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2004M08","Loans to non-financial corporations, including securitisations","%","24.6"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2004M09","Loans to households, including securitisations","%","27"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2004M09","Loans to non-financial corporations, including securitisations","%","25.3"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2004M10","Loans to households, including securitisations","%","27.2"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2004M10","Loans to non-financial corporations, including securitisations","%","26.5"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2004M11","Loans to households, including securitisations","%","27.1"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2004M11","Loans to non-financial corporations, including securitisations","%","29.6"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2004M12","Loans to households, including securitisations","%","26.3"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2004M12","Loans to non-financial corporations, including securitisations","%","29.2"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2005M01","Loans to households, including securitisations","%","26.5"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2005M01","Loans to non-financial corporations, including securitisations","%","29.7"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2005M02","Loans to households, including securitisations","%","26.2"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2005M02","Loans to non-financial corporations, including securitisations","%","29.2"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2005M03","Loans to households, including securitisations","%","26.1"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2005M03","Loans to non-financial corporations, including securitisations","%","27.4"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2005M04","Loans to households, including securitisations","%","26.3"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2005M04","Loans to non-financial corporations, including securitisations","%","29.4"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2005M05","Loans to households, including securitisations","%","26.5"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2005M05","Loans to non-financial corporations, including securitisations","%","27.5"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2005M06","Loans to households, including securitisations","%","26.1"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2005M06","Loans to non-financial corporations, including securitisations","%","29"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2005M07","Loans to households, including securitisations","%","26.3"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2005M07","Loans to non-financial corporations, including securitisations","%","28.8"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2005M08","Loans to households, including securitisations","%","26.8"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2005M08","Loans to non-financial corporations, including securitisations","%","31.7"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2005M09","Loans to households, including securitisations","%","27.1"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2005M09","Loans to non-financial corporations, including securitisations","%","31.4"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2005M10","Loans to households, including securitisations","%","27.3"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2005M10","Loans to non-financial corporations, including securitisations","%","32.7"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2005M11","Loans to households, including securitisations","%","27.3"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2005M11","Loans to non-financial corporations, including securitisations","%","34.1"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2005M12","Loans to households, including securitisations","%","27.5"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2005M12","Loans to non-financial corporations, including securitisations","%","32.3"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2006M01","Loans to households, including securitisations","%","27.4"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2006M01","Loans to non-financial corporations, including securitisations","%","33.3"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2006M02","Loans to households, including securitisations","%","28.8"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2006M02","Loans to non-financial corporations, including securitisations","%","33"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2006M03","Loans to households, including securitisations","%","27.8"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2006M03","Loans to non-financial corporations, including securitisations","%","34.4"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2006M04","Loans to households, including securitisations","%","27.4"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2006M04","Loans to non-financial corporations, including securitisations","%","34.7"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2006M05","Loans to households, including securitisations","%","27"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2006M05","Loans to non-financial corporations, including securitisations","%","36.2"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2006M06","Loans to households, including securitisations","%","27.5"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2006M06","Loans to non-financial corporations, including securitisations","%","36.4"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2006M07","Loans to households, including securitisations","%","27.5"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2006M07","Loans to non-financial corporations, including securitisations","%","37.1"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2006M08","Loans to households, including securitisations","%","26.7"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2006M08","Loans to non-financial corporations, including securitisations","%","36.1"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2006M09","Loans to households, including securitisations","%","25.8"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2006M09","Loans to non-financial corporations, including securitisations","%","36.7"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2006M10","Loans to households, including securitisations","%","25.5"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2006M10","Loans to non-financial corporations, including securitisations","%","36.8"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2006M11","Loans to households, including securitisations","%","24.5"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2006M11","Loans to non-financial corporations, including securitisations","%","34.9"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2006M12","Loans to households, including securitisations","%","24.4"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2006M12","Loans to non-financial corporations, including securitisations","%","35.8"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2007M01","Loans to households, including securitisations","%","23.7"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2007M01","Loans to non-financial corporations, including securitisations","%","35"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2007M02","Loans to households, including securitisations","%","21.6"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2007M02","Loans to non-financial corporations, including securitisations","%","35.7"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2007M03","Loans to households, including securitisations","%","22.6"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2007M03","Loans to non-financial corporations, including securitisations","%","32.4"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2007M04","Loans to households, including securitisations","%","21.5"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2007M04","Loans to non-financial corporations, including securitisations","%","32.8"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2007M05","Loans to households, including securitisations","%","19.9"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2007M05","Loans to non-financial corporations, including securitisations","%","31.5"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2007M06","Loans to households, including securitisations","%","18.7"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2007M06","Loans to non-financial corporations, including securitisations","%","30.2"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2007M07","Loans to households, including securitisations","%","17.3"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2007M07","Loans to non-financial corporations, including securitisations","%","28.6"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2007M08","Loans to households, including securitisations","%","16.7"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2007M08","Loans to non-financial corporations, including securitisations","%","27.5"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2007M09","Loans to households, including securitisations","%","15.8"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2007M09","Loans to non-financial corporations, including securitisations","%","27.3"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2007M10","Loans to households, including securitisations","%","14.7"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2007M10","Loans to non-financial corporations, including securitisations","%","26.5"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2007M11","Loans to households, including securitisations","%","14.4"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2007M11","Loans to non-financial corporations, including securitisations","%","22.8"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2007M12","Loans to households, including securitisations","%","13.4"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2007M12","Loans to non-financial corporations, including securitisations","%","23.2"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2008M01","Loans to households, including securitisations","%","12.9"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2008M01","Loans to non-financial corporations, including securitisations","%","22.8"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2008M02","Loans to households, including securitisations","%","12.5"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2008M02","Loans to non-financial corporations, including securitisations","%","21.7"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2008M03","Loans to households, including securitisations","%","11.4"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2008M03","Loans to non-financial corporations, including securitisations","%","22.1"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2008M04","Loans to households, including securitisations","%","11"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2008M04","Loans to non-financial corporations, including securitisations","%","20.5"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2008M05","Loans to households, including securitisations","%","10.6"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2008M05","Loans to non-financial corporations, including securitisations","%","18.7"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2008M06","Loans to households, including securitisations","%","10.1"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2008M06","Loans to non-financial corporations, including securitisations","%","17.6"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2008M07","Loans to households, including securitisations","%","9.7"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2008M07","Loans to non-financial corporations, including securitisations","%","17.2"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2008M08","Loans to households, including securitisations","%","9"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2008M08","Loans to non-financial corporations, including securitisations","%","17.5"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2008M09","Loans to households, including securitisations","%","8.2"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2008M09","Loans to non-financial corporations, including securitisations","%","15.2"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2008M10","Loans to households, including securitisations","%","7.2"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2008M10","Loans to non-financial corporations, including securitisations","%","12.9"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2008M11","Loans to households, including securitisations","%","6.4"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2008M11","Loans to non-financial corporations, including securitisations","%","12.5"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2008M12","Loans to households, including securitisations","%","5.4"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2008M12","Loans to non-financial corporations, including securitisations","%","9.2"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2009M01","Loans to households, including securitisations","%","5.1"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2009M01","Loans to non-financial corporations, including securitisations","%","8.7"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2009M02","Loans to households, including securitisations","%","4.6"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2009M02","Loans to non-financial corporations, including securitisations","%","7.4"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2009M03","Loans to households, including securitisations","%","3.5"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2009M03","Loans to non-financial corporations, including securitisations","%","5.6"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2009M04","Loans to households, including securitisations","%","2.4"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2009M04","Loans to non-financial corporations, including securitisations","%","4.5"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2009M05","Loans to households, including securitisations","%","1.7"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2009M05","Loans to non-financial corporations, including securitisations","%","4"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2009M06","Loans to households, including securitisations","%","1.1"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2009M06","Loans to non-financial corporations, including securitisations","%","1.6"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2009M07","Loans to households, including securitisations","%","0"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2009M07","Loans to non-financial corporations, including securitisations","%","0.7"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2009M08","Loans to households, including securitisations","%","-0.5"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2009M08","Loans to non-financial corporations, including securitisations","%","-1.1"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2009M09","Loans to households, including securitisations","%","-0.7"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2009M09","Loans to non-financial corporations, including securitisations","%","-1.1"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2009M10","Loans to households, including securitisations","%","-0.8"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2009M10","Loans to non-financial corporations, including securitisations","%","-1.1"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2009M11","Loans to households, including securitisations","%","-1.3"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2009M11","Loans to non-financial corporations, including securitisations","%","-1.3"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2009M12","Loans to households, including securitisations","%","-1.5"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2009M12","Loans to non-financial corporations, including securitisations","%","-1.7"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2010M01","Loans to households, including securitisations","%","-2.4"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2010M01","Loans to non-financial corporations, including securitisations","%","-2.4"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2010M02","Loans to households, including securitisations","%","-2.5"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2010M02","Loans to non-financial corporations, including securitisations","%","-2.6"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2010M03","Loans to households, including securitisations","%","-2.7"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2010M03","Loans to non-financial corporations, including securitisations","%","-3.1"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2010M04","Loans to households, including securitisations","%","-2.9"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2010M04","Loans to non-financial corporations, including securitisations","%","-3"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2010M05","Loans to households, including securitisations","%","-3"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2010M05","Loans to non-financial corporations, including securitisations","%","-3"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2010M06","Loans to households, including securitisations","%","-3.7"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2010M06","Loans to non-financial corporations, including securitisations","%","-2.4"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2010M07","Loans to households, including securitisations","%","-3.8"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2010M07","Loans to non-financial corporations, including securitisations","%","-3.1"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2010M08","Loans to households, including securitisations","%","-3.8"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2010M08","Loans to non-financial corporations, including securitisations","%","-3.1"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2010M09","Loans to households, including securitisations","%","-4.1"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2010M09","Loans to non-financial corporations, including securitisations","%","-3.9"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2010M10","Loans to households, including securitisations","%","-4.3"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2010M10","Loans to non-financial corporations, including securitisations","%","-4.3"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2010M11","Loans to households, including securitisations","%","-4.3"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2010M11","Loans to non-financial corporations, including securitisations","%","-4.4"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2010M12","Loans to households, including securitisations","%","-4.9"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2010M12","Loans to non-financial corporations, including securitisations","%","-4.3"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2011M01","Loans to households, including securitisations","%","-4.6"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2011M01","Loans to non-financial corporations, including securitisations","%","-4.4"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2011M02","Loans to households, including securitisations","%","-4.5"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2011M02","Loans to non-financial corporations, including securitisations","%","-4.3"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2011M03","Loans to households, including securitisations","%","-4.5"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2011M03","Loans to non-financial corporations, including securitisations","%","-4.1"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2011M04","Loans to households, including securitisations","%","-4.2"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2011M04","Loans to non-financial corporations, including securitisations","%","-4.7"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2011M05","Loans to households, including securitisations","%","-4.3"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2011M05","Loans to non-financial corporations, including securitisations","%","-5.1"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2011M06","Loans to households, including securitisations","%","-4"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2011M06","Loans to non-financial corporations, including securitisations","%","-4.3"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2011M07","Loans to households, including securitisations","%","-4.1"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2011M07","Loans to non-financial corporations, including securitisations","%","-3.3"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2011M08","Loans to households, including securitisations","%","-4.2"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2011M08","Loans to non-financial corporations, including securitisations","%","-3.3"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2011M09","Loans to households, including securitisations","%","-4.1"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2011M09","Loans to non-financial corporations, including securitisations","%","-2.3"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2011M10","Loans to households, including securitisations","%","-4"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2011M10","Loans to non-financial corporations, including securitisations","%","-2.3"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2011M11","Loans to households, including securitisations","%","-4.1"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2011M11","Loans to non-financial corporations, including securitisations","%","-2.1"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2011M12","Loans to households, including securitisations","%","-3.7"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2011M12","Loans to non-financial corporations, including securitisations","%","-2.3"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2012M01","Loans to households, including securitisations","%","-3.9"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2012M01","Loans to non-financial corporations, including securitisations","%","-2.3"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2012M02","Loans to households, including securitisations","%","-4"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2012M02","Loans to non-financial corporations, including securitisations","%","-2.4"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2012M03","Loans to households, including securitisations","%","-3.8"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2012M03","Loans to non-financial corporations, including securitisations","%","-2.3"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2012M04","Loans to households, including securitisations","%","-3.9"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2012M04","Loans to non-financial corporations, including securitisations","%","-1.9"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2012M05","Loans to households, including securitisations","%","-3.8"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2012M05","Loans to non-financial corporations, including securitisations","%","-2.2"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2012M06","Loans to households, including securitisations","%","-3.8"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2012M06","Loans to non-financial corporations, including securitisations","%","-3.2"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2012M07","Loans to households, including securitisations","%","-3.7"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2012M07","Loans to non-financial corporations, including securitisations","%","-3.7"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2012M08","Loans to households, including securitisations","%","-3.8"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2012M08","Loans to non-financial corporations, including securitisations","%","-3.5"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2012M09","Loans to households, including securitisations","%","-3.8"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2012M09","Loans to non-financial corporations, including securitisations","%","-4.5"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2012M10","Loans to households, including securitisations","%","-3.7"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2012M10","Loans to non-financial corporations, including securitisations","%","-4.5"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2012M11","Loans to households, including securitisations","%","-3.7"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2012M11","Loans to non-financial corporations, including securitisations","%","-4.6"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2012M12","Loans to households, including securitisations","%","-3.9"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2012M12","Loans to non-financial corporations, including securitisations","%","-4.3"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2013M01","Loans to households, including securitisations","%","-3.9"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2013M01","Loans to non-financial corporations, including securitisations","%","-4"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2013M02","Loans to households, including securitisations","%","-4.2"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2013M02","Loans to non-financial corporations, including securitisations","%","-3.9"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2013M03","Loans to households, including securitisations","%","-4.1"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2013M03","Loans to non-financial corporations, including securitisations","%","-4.2"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2013M04","Loans to households, including securitisations","%","-4.1"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2013M04","Loans to non-financial corporations, including securitisations","%","-5"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2013M05","Loans to households, including securitisations","%","-4.3"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2013M05","Loans to non-financial corporations, including securitisations","%","-5.3"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2013M06","Loans to households, including securitisations","%","-4.1"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2013M06","Loans to non-financial corporations, including securitisations","%","-4.9"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2013M07","Loans to households, including securitisations","%","-4.1"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2013M07","Loans to non-financial corporations, including securitisations","%","-4.8"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2013M08","Loans to households, including securitisations","%","-4"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2013M08","Loans to non-financial corporations, including securitisations","%","-4.9"
"Annual adjusted growth rate of outstanding amount of loans and securitisations","2013M09","Loans to households, including securitisations","%","-3.9"
